FrameId,Event,Type,OId,HId,D
0,0,RAW,,,
1,0,RAW,,,
2,0,RAW,,,
3,0,RAW,,,
4,0,RAW,,,
5,0,RAW,,,
6,0,RAW,,,
7,0,RAW,,,
8,0,RAW,,,
9,0,RAW,,,
10,0,RAW,,,
11,0,RAW,,,
12,0,RAW,,,
13,0,RAW,,,
14,0,RAW,,,
15,0,RAW,,,
16,0,RAW,,,
17,0,RAW,,,
18,0,RAW,,,
19,0,RAW,,,
20,0,RAW,,,
21,0,RAW,,,
22,0,RAW,,,
23,0,RAW,,,
24,0,RAW,,,
25,0,RAW,,,
26,0,RAW,,,
27,0,RAW,,,
28,0,RAW,,,
29,0,RAW,,,
30,0,RAW,,,
31,0,RAW,,,
32,0,RAW,,,
33,0,RAW,,,
34,0,RAW,,,
35,0,RAW,,,
36,0,RAW,,,
37,0,RAW,,,
38,0,RAW,,,
39,0,RAW,,,
40,0,RAW,,,
41,0,RAW,,,
42,0,RAW,,,
43,0,RAW,,,
44,0,RAW,,,
45,0,RAW,,,
46,0,RAW,,,
47,0,RAW,,,
48,0,RAW,,,
49,0,RAW,,,
50,0,RAW,,,
51,0,RAW,,,
52,0,RAW,,,
53,0,RAW,,,
54,0,RAW,,,
55,0,RAW,,,
56,0,RAW,,,
57,0,RAW,,,
58,0,RAW,,,
59,0,RAW,,,
60,0,RAW,,,
61,0,RAW,,,
62,0,RAW,,,
63,0,RAW,,,
64,0,RAW,,,
65,0,RAW,,,
66,0,RAW,,,
67,0,RAW,,,
68,0,RAW,,,
69,0,RAW,,,
70,0,RAW,,,
71,0,RAW,,,
72,0,RAW,,,
73,0,RAW,,,
74,0,RAW,,,
75,0,RAW,,,
76,0,RAW,,,
77,0,RAW,,,
78,0,RAW,,,
79,0,RAW,,,
80,0,RAW,,,
81,0,RAW,,,
82,0,RAW,,,
83,0,RAW,,,
84,0,RAW,,,
85,0,RAW,,,
86,0,RAW,,,
87,0,RAW,,,
88,0,RAW,,,
89,0,RAW,,,
90,0,RAW,,,
91,0,RAW,,,
92,0,RAW,,,
93,0,RAW,,,
94,0,RAW,,,
95,0,RAW,,,
96,0,RAW,,,
97,0,RAW,,,
98,0,RAW,,,
99,0,RAW,,,
100,0,RAW,,,
101,0,RAW,,,
102,0,RAW,,,
103,0,RAW,,,
104,0,RAW,,,
105,0,RAW,,,
106,0,RAW,,,
107,0,RAW,,,
108,0,RAW,,,
109,0,RAW,,,
110,0,RAW,,,
111,0,RAW,,,
112,0,RAW,,,
113,0,RAW,,,
114,0,RAW,,,
115,0,RAW,,,
116,0,RAW,,,
117,0,RAW,,,
118,0,RAW,,,
119,0,RAW,,,
120,0,RAW,,,
121,0,RAW,,,
122,0,RAW,,,
123,0,RAW,,,
124,0,RAW,,,
125,0,RAW,,,
126,0,RAW,,,
127,0,RAW,,,
128,0,RAW,,,
129,0,RAW,,,
130,0,RAW,,,
131,0,RAW,,,
132,0,RAW,,,
133,0,RAW,,,
134,0,RAW,,,
135,0,RAW,,,
136,0,RAW,,,
137,0,RAW,,,
138,0,RAW,,,
139,0,RAW,,,
140,0,RAW,,,
141,0,RAW,,,
142,0,RAW,,,
143,0,RAW,,,
144,0,RAW,,,
145,0,RAW,,,
146,0,RAW,,,
147,0,RAW,,,
148,0,RAW,,,
149,0,RAW,,,
150,0,RAW,,,
151,0,RAW,,,
152,0,RAW,,,
153,0,RAW,,,
154,0,RAW,,,
155,0,RAW,,,
156,0,RAW,,,
157,0,RAW,,,
158,0,RAW,,,
159,0,RAW,,,
160,0,RAW,,,
161,0,RAW,,,
162,0,RAW,,,
163,0,RAW,,,
164,0,RAW,,,
165,0,RAW,,,
166,0,RAW,,,
167,0,RAW,,,
168,0,RAW,,,
169,0,RAW,,,
170,0,RAW,,,
171,0,RAW,,,
172,0,RAW,,,
173,0,RAW,,,
174,0,RAW,,,
175,0,RAW,,,
176,0,RAW,,,
177,0,RAW,,,
178,0,RAW,,,
179,0,RAW,,,
180,0,RAW,,,
181,0,RAW,,,
182,0,RAW,,,
183,0,RAW,,,
184,0,RAW,,,
185,0,RAW,,,
186,0,RAW,,,
187,0,RAW,,,
188,0,RAW,,,
189,0,RAW,,,
190,0,RAW,,,
191,0,RAW,,,
192,0,RAW,,,
193,0,RAW,,,
194,0,RAW,,,
195,0,RAW,,,
196,0,RAW,,,
197,0,RAW,,,
198,0,RAW,,,
199,0,RAW,,,
200,0,RAW,,,
201,0,RAW,,,
202,0,RAW,,,
203,0,RAW,,,
203,1,RAW,1376.0,,
203,2,MISS,1376.0,,
204,0,RAW,,,
204,1,RAW,1376.0,,
204,2,MISS,1376.0,,
205,0,RAW,,,
205,1,RAW,1376.0,,
205,2,MISS,1376.0,,
206,0,RAW,,,
206,1,RAW,1376.0,1.0,0.0
206,2,MATCH,1376.0,1.0,0.0
207,0,RAW,,,
207,1,RAW,1376.0,1.0,0.0
207,2,MATCH,1376.0,1.0,0.0
208,0,RAW,,,
208,1,RAW,1376.0,1.0,0.0
208,2,MATCH,1376.0,1.0,0.0
209,0,RAW,,,
209,1,RAW,1376.0,1.0,0.08289241622574961
209,2,MATCH,1376.0,1.0,0.08289241622574961
210,0,RAW,,,
210,1,RAW,1376.0,1.0,0.04761904761904767
210,2,MATCH,1376.0,1.0,0.04761904761904767
211,0,RAW,,,
211,1,RAW,1376.0,1.0,0.0714285714285714
211,2,MATCH,1376.0,1.0,0.0714285714285714
212,0,RAW,,,
212,1,RAW,1376.0,1.0,0.0357142857142857
212,2,MATCH,1376.0,1.0,0.0357142857142857
213,0,RAW,,,
213,1,RAW,1376.0,1.0,0.03448275862068961
213,2,MATCH,1376.0,1.0,0.03448275862068961
214,0,RAW,,,
214,1,RAW,1376.0,1.0,0.06896551724137934
214,2,MATCH,1376.0,1.0,0.06896551724137934
215,0,RAW,,,
215,1,RAW,1376.0,1.0,0.07763975155279501
215,2,MATCH,1376.0,1.0,0.07763975155279501
216,0,RAW,,,
216,1,RAW,1376.0,1.0,0.06896551724137934
216,2,MATCH,1376.0,1.0,0.06896551724137934
217,0,RAW,,,
217,1,RAW,1376.0,1.0,0.03448275862068961
217,2,MATCH,1376.0,1.0,0.03448275862068961
218,0,RAW,,,
218,1,RAW,1376.0,1.0,0.04347826086956519
218,2,MATCH,1376.0,1.0,0.04347826086956519
219,0,RAW,,,
219,1,RAW,1376.0,1.0,0.07507507507507505
219,2,MATCH,1376.0,1.0,0.07507507507507505
220,0,RAW,,,
220,1,RAW,1376.0,1.0,0.03448275862068961
220,2,MATCH,1376.0,1.0,0.03448275862068961
221,0,RAW,,,
221,1,RAW,1376.0,1.0,0.0
221,2,MATCH,1376.0,1.0,0.0
222,0,RAW,,,
222,1,RAW,1376.0,1.0,0.04166666666666663
222,2,MATCH,1376.0,1.0,0.04166666666666663
223,0,RAW,,,
223,1,RAW,1376.0,1.0,0.07507507507507505
223,2,MATCH,1376.0,1.0,0.07507507507507505
224,0,RAW,,,
224,1,RAW,1376.0,1.0,0.0
224,2,MATCH,1376.0,1.0,0.0
225,0,RAW,,,
225,1,RAW,1376.0,1.0,0.06666666666666665
225,2,MATCH,1376.0,1.0,0.06666666666666665
226,0,RAW,,,
226,1,RAW,1376.0,1.0,0.033333333333333326
226,2,MATCH,1376.0,1.0,0.033333333333333326
227,0,RAW,,,
227,1,RAW,1376.0,1.0,0.033333333333333326
227,2,MATCH,1376.0,1.0,0.033333333333333326
228,0,RAW,,,
228,1,RAW,1376.0,1.0,0.10852713178294571
228,2,MATCH,1376.0,1.0,0.10852713178294571
229,0,RAW,,,
229,1,RAW,1376.0,1.0,0.07999999999999996
229,2,MATCH,1376.0,1.0,0.07999999999999996
230,0,RAW,,,
230,1,RAW,1376.0,1.0,0.07133243606998652
230,2,MATCH,1376.0,1.0,0.07133243606998652
231,0,RAW,,,
231,1,RAW,1376.0,1.0,0.03125
231,2,MATCH,1376.0,1.0,0.03125
232,0,RAW,,,
232,1,RAW,1376.0,1.0,0.03125
232,2,MATCH,1376.0,1.0,0.03125
233,0,RAW,,,
233,1,RAW,3.0,2.0,0.04477611940298509
233,2,RAW,1376.0,1.0,0.12367491166077738
233,3,MATCH,1376.0,1.0,0.12367491166077738
233,4,MATCH,3.0,2.0,0.04477611940298509
234,0,RAW,,,
234,1,RAW,3.0,2.0,0.07863651704353691
234,2,RAW,1376.0,1.0,0.0939977349943375
234,3,MATCH,3.0,2.0,0.07863651704353691
234,4,MATCH,1376.0,1.0,0.0939977349943375
235,0,RAW,,,
235,1,RAW,3.0,2.0,0.08276291225886745
235,2,RAW,1376.0,1.0,0.06674208144796379
235,3,MATCH,3.0,2.0,0.08276291225886745
235,4,MATCH,1376.0,1.0,0.06674208144796379
236,0,RAW,,,
236,1,RAW,3.0,2.0,0.09276865456640737
236,2,RAW,1376.0,1.0,0.038461538461538436
